,Title,Department,Details,Amount,State,City,Date
240,Duplicate license copy for photo shoot,Duplicate Driving License,"14/10/2019 ,1:45pm
Ulundurpet rto office photo shoot place
camera man...",200, Tamil Nadu,Viluppuram,"October 15, 2019"
241,This Festive season just got more interesting,Loans,"Are you looking for finance? Do you need a loan for to settle your bills, like personal loan, finance issue, business loan to 
set up your own busines...","42,900", Maharashtra,Mumbai,"October 15, 2019"
242,To file case and to provide FIR the 2nd floor nolambur police writer police men and women,FIR and Complaints,"My things got theft and i complaint to police, before 2 months. I asked them can you complain FIR, they start talking about me directly ""Give some amo...","4,000", Tamil Nadu,Chennai,"October 14, 2019"
243,After the change of currency the financial system will fall secure your self now while you can,Assessment,"At the time of writing, Bitcoin is trading up marginally at its current price of $10,205 and is once again pushing up against its immediate resistance...","78,500", Maharashtra,Mumbai,"October 14, 2019"
244,For selling banned medicine and not having valid license ,Pharmacy,"Drug inspector Sitamarhi, bihar
Date- 24th September,  2019
He raised my shop on 23rd September and seized some objectionable medicine and he demanded...","25,000", Bihar,Sitamarhi,"October 13, 2019"
245,Becoming A Millionaire in a fast growing economy like India is easy,Sales Tax,"What is pertinent now is that over the past few days trends show much hovering around the $10,200 ranges which most likely indicates a dip over a rise...","9,87,600", Maharashtra,Mumbai,"October 12, 2019"
246,I am a post office femle agent,Savings Scheme,"I am a post office female agent, my household runs on the commission money I get from depositing my customers funds in post office. There is a list sy...",50, Uttar Pradesh,Jalaun,"October 12, 2019"
247,They fined the People without reason and the show the fear of law to common people n collect money,"Traffic Fines, Penalties, Rules",When me and my friends are traveling on pune lonawala Highway that time there are RTO and police are there...they stopped us and ask for driving licen...,"1,000", Maharashtra,Pune,"October 12, 2019"
248,Bribe for legal heir certificate,Certificates,"I applied legal heir certificate before 10 days , I already went to the vao office and informed that I'm registered this in walaja taluk office and th...",500, Tamil Nadu,Vellore,"October 11, 2019"
249,Ripnsalt Disposables & Nicotine Salts E-Liquid at Calivapepods.com,Others,Get online ripnsalt Disposables and each disposable is equivalent to 1 pack of cigarettes with each box contains 8 disposable units with ingredients: ...,"1,200", Jharkhand,Adityapur,"October 11, 2019"
250,"Change your future, bitcoin is going to replace banks",Certificates,Making profit just got so easy thanks to Mr. Howard Vivek Strategy. I really want to use this medium to appreciate his effort and tremendous change in...,"68,700", Haryana,Faridabad,"October 11, 2019"
251,Your chance of safe heaven investment ,Commercial and Industrial,"I have made over $76,000 for about 2 months from trading bitcoin but my success never started that way as I had made substantial losses before my turn...","4,56,000", Jharkhand,Adityapur,"October 11, 2019"
252,"Bitcoin is back up,This is your chance ",Fire License,"What is pertinent now is that over the past few days trends show much hovering around the $10,200 ranges which most likely indicates a dip over a ris...","6,78,000", Andhra Pradesh,Yemmiganur,"October 11, 2019"
253,I am a cha in custom the babu of custom officer is always asked me how much conenor i have ,,"Custom babu who dispatch he always asked for bribe and if we say no then they are try to stop our work they all are same on the incident report
...","10,000", Rajasthan,Jaipur,"October 11, 2019"
254,Hoverboards Segway/Swegway Circuit Board Repair Kit UK,Others,"Buy all your quality hoverboard shell replacement, Kids Full Dual System Hoverboards Segway/Swegway Circuit Board Repair Kit UK and Hoverboard Parts o...",12, Uttar Pradesh,Achhnera,"October 11, 2019"
255,Making alot of money is easy now,Sales Tax,"At the time of writing, Bitcoin is trading up marginally at its current price of $10,205 and is once again pushing up against its immediate resistance...","5,48,900", Tamil Nadu,Chennai,"October 11, 2019"
256,GET RICH FAST LEGALY,Others,"I have made over $76,000 for about 2 months from trading bitcoin but my success never started that way as I had made substantial losses before my turn...","87,900", Maharashtra,Mumbai,"October 11, 2019"
257,Losi XXXNT Supercharger & Spare Parts at RBinnovations.com,Others,We at RBinnovations.com has released the most advanced and highest quality entry level ready-to-run Nitro Truck the hobby industry has ever seen and a...,22, Andhra Pradesh,Amadalavalasa,"October 11, 2019"
258,"Get your Loan Approval,easy access fast transfer",Sales Tax,"Are you looking for finance? Do you need a loan for to settle your bills, like personal loan, finance issue, business loan 

to 
set up your own busin...","9,00,000", Maharashtra,Mumbai,"October 10, 2019"
259,Wrong side driving by UBER Driver,"Traffic Fines, Penalties, Rules","I booked a uber bike ride, he take a wrong turn (wrong side entry) from Noida bypass flyover, traffic policeman stops us (only one policeman was there...",500, Uttar Pradesh,Noida,"October 10, 2019"
260,PERSONAL LOANS UNDER 30 MINUETS ,Sales Tax,"Are you looking for finance? Do you need a loan for to settle your bills, like personal loan, finance issue, business loan to set up your own business...","30,000", Maharashtra,Mumbai,"October  9, 2019"
261,For registration of aadhar card ,Others,I have paid Rs300 for applying aadhar card at hatigaon charali behind bus stop in a flat at 2nd floor date 09/10/2019 time 12:30 pm. I have heard that...,300, Assam,Guwahati,"October  9, 2019"
262,Paid bribe to the BBMP Inspector to do perform his duty.,Services,"I filed a complaint with the BBMP Shettyhalli office with the problem of Drainage blockage by my neighbour, despite several followups and paying the b...",500, Karnataka,Bangalore,"October  8, 2019"
263,Bharath Gas - LPG cylinder delivery bribe,Others,LPG delivery boy from Bharath Gas - Jana Bharath Gas agency - demanded Rs.50 bribe for delivering cylinder. We had to give him Rs.50 to take the cylin...,50, Karnataka,Bangalore,"October  8, 2019"
264,Police should take serious action ,Police Harassment,"Chandrakar,traffic constable, arang ,chattisgarh ,he is stopping the trucks in the highway and demanding money as bribe...","15,000", Chhattisgarh,Raipur,"October  8, 2019"
265,Police enforcement hyenas,Autorickshaws,"Name of officer: N/a
Date: 14/8/2019 (approx)
Time: 5.30pm
Location: Malleswaram Circle Police station 
Designation: Parking sleuth...",800, Karnataka,Bangalore,"October  8, 2019"
266,A thousand bribe and a bottle of Johnny Walker,Customs Check and Clearance,"I had read in quite a few blogs that I could carry a bottle of liquor with me, while leaving Puducherry, as long as it is for personal consumption. I ...","4,000", Pondicherry,Pondicherry,"October  7, 2019"
267,Corrupt practice,Entry Tax,Taking money while giving licence...,200, Telangana,Miryalaguda,"October  7, 2019"
268,Buy 9mm Slide GEN-3 RMR Cut Tungsten for Glock 19 - U.S Made,Others,"Buy online best and inexpensive 9mm Slide GEN-3 RMR Cut Tungsten for Glock 19 (U.S Made) with Lightweight slide with custom cutouts, T 19 slides, Fits...",12, Uttar Pradesh,Adari,"October  7, 2019"
269,Corruption,Aadhaar Card Process,"We have already paid so much commision for each thing still the services are not provided.
They leaders take the commission repeadly saying the author...","50,000", Madhya Pradesh,Gwalior,"October  7, 2019"
270,Unauthorized pay n park,Vehicle Fitness,"On Saturday I went for my annual t permit vehicle passing at Kalyan site. ""Right at the ENTRANCE"". There were people who were openly forcefully asking...",100, Maharashtra,Thane,"October  6, 2019"
271,Indian Custom Officials illegally kept $2500 USD,Customs,"I was carrying cash (more than $5000) which I thought was legally allowed and was randomly picked up for custom inspection at IGI Delhi Terminal 3, an...","1,77,000", Delhi,New Delhi,"October  6, 2019"
272,Get loans in your area fast,Loans,"Are You Financially down?
Grab this life time financial loan
offer and give your business, education, homes, and
construction a lift. Our loan ranges ...","67,000", Tamil Nadu,Chennai,"October  6, 2019"
273,I paid a bride,Excess Baggage,"I was traveling back to my country after a medical check up.  At immigration they took me to different room and asked if i had any cash left, i told h...","10,000", Delhi,New Delhi,"October  6, 2019"
274,Paid a bribe,Excess Baggage,I was traveling back to my country after a medical check up. They stopped me saying i do not have a note from my doctor clearing for me to fly. I call...,"5,000", Delhi,New Delhi,"October  6, 2019"
275,Bribe given to release my refunds,Income Tax,"Hi 
My refunds was pending from 15 16 16 17 and so but purposely they have kept on hold and inspite if sendi g so many mails to cpc no proper response...","40,000", Maharashtra,Mumbai,"October  6, 2019"
276,Corrupt custom New Delhi airport ,Customs,"I was travelling on October 2, 2019 from New Delhi international Airport when I got called out by the customs they told me that Iâm caring $4000 and...","5,000", Delhi,New Delhi,"October  6, 2019"
277,Had to pay bribe for land partition.,Caste Certificate,"I had to pay a bribe to the mandal (land surveyor), also known as lekpal in some states. The land and revenue office is the most corrupt department he...","20,000", Assam,Dibrugarh,"October  5, 2019"
278,"To close down old company, to get new tin number",Assessment,"Greams rd sales tax officer, ayanavaram sales tax officer...","50,000", Tamil Nadu,Chennai,"October  5, 2019"
279,Bribe for adhar correction,,Respect sir sbi bank branch harritingatanganj officer 250 rs lekar bank k samne janseva kendra par adhar card banata hai aur bank me nahi banata jisse...,250, Uttar Pradesh,Faizabad,"October  4, 2019"
280,Bribe paid for CGHS claim,Disability Certificate,My father works as Junior Engineer in MES in Delhi Cantonment. About to retire in Feb 2019. He had a heart attack in April and operated first on 30th ...,"12,000", Delhi,New Delhi,"October  4, 2019"
281,TAKE LOAN USING YOUR ID PROOF 15MNTS,VAT,"Are You Financially down?
Grab this life time financial loan
offer and give your business, education, homes, and
construction a lift. Our loan ranges...","5,00,000", Karnataka,Bangalore,"October  4, 2019"
282,INVEST IN BITCOIN AND MAKE MILLIONS,Sales Tax,"I have made over $76,000 for about 2 months from trading bitcoin but my success never started that way as I had made substantial losses before my turn...","8,00,000", Tamil Nadu,Chennai,"October  4, 2019"
283,Corruption ,Ration Card,Food shirastedar of food department at mini vidhana soudha sirsi is taking bribe to do his job..he is torturing poor people to give money for their wo...,200, Uttar Pradesh,Sirsi,"October  4, 2019"
284,SP AND CI  AND DSP WERE ASKING FOR BRIBE,FIR and Complaints,"SP & CI of this police station are brutally corrupted officers. Somebody made a complaint on our family, so they called and asked us for 4L as Bribe, ...","4,00,000", Telangana,Suryapet,"October  4, 2019"
285,Demanding bribe,Driving Licenses and Tests,"Hi ,
My spouse applied for license of two wheeler. Constable at the entry demanded rs1500 and warned us that we wonât get licenses if we did not pay...","1,500", Andhra Pradesh,Salur,"October  3, 2019"
286,Replacement Rubber Grips for Hoverkart / Hovercart UK,Others,Now you can get best and top replacement Hoverkart Straps of Different Types Available at https://www.smartboardsuk.com/products/replacement-rubber-gr...,"1,200", Delhi,New Delhi,"October  3, 2019"
287,Modified Cooling Clutch Plate for TR/OBR sealed billet clutch housing,Others,Now stop burning up your clutches from excessive overheating and this hybrid clutch plate features machined fan blades to force air over the clutch to...,"1,200", Delhi,New Delhi,"October  3, 2019"
288,Corrupt Trafic Police of UP.,"Traffic Fines, Penalties, Rules","The Whole department is a corrupt my car was at the railway station on 2 October, while I WAS THERE TO lift of my relatives on the station, a police j...","1,500", Uttar Pradesh,Gorakhpur,"October  2, 2019"
289,Gst refund on export sales,Sales Tax,"Every time I file application for gst refund I have to pay bribe to get my file sanctioned, even after submitting all verified documents they ask for ...","95,000", Rajasthan,Jaipur,"October  1, 2019"
290,Rifle Length A1 A2 Buffer Tube Kit at AR15handguard.com,Others,"Buy online cheap, best, affordable and inexpensive AR-15 fixed rifle stock a1 a2 buffer tube kit 223/5.56 that includes mil-spec rifle length buffer t...","1,200", Telangana,Adilabad,"September 30, 2019"
291,GST feild officer ,Sales Tax,"Mr solanki
28/09/2019
12:15pm
402,parth shilpvilla apartments, kk nagar , ghatlodiya 
Gst feild visiting officer ...",500, Gujarat,Ahmedabad,"September 28, 2019"
292,Bribe and mishaving. ,Driving licence Process,"Even though, i have all documents clear but Police ask me to give bribe.. I was returning to home but police kept me for long time.. And misbehaving w...",500, Assam,Sibsagar,"September 28, 2019"
293,Asked for bribe in respect to violation of traffic rules,FIR and Complaints,"Wrong side driving violation, traffic police asked for a bribe.
I have the video proof of the number plate of the office who took the money.
He was no...",600, Maharashtra,Pune,"September 28, 2019"
294,Paid bribe to get a bus ticket in KSRTC Airavat Bus.  ,Driving and Transport Business,I boarded an Airavat KSRTC bus from ITI gate in Bengaluru at 9.00 pm on 27th of September 2019 to go to Palamaner which is 120 km away. Although There...,120, Karnataka,Bangalore,"September 27, 2019"
295,Bribe paid,"Traffic Fines, Penalties, Rules","I witnessed a share auto driver paying bribe to a traffic police for waiting for the passengers to get inside the auto...
I couldn't click a picture o...",100, Tamil Nadu,Chennai,"September 27, 2019"
296,Inaction on corrupt officials in ministry of agriculture ,Others,"Dear Sir, this grievance pertains to inaction against employees with corruption charges by the Minstry of Agriculture and Farmers Welfare, a case in p...",1, Delhi,New Delhi,"September 27, 2019"
297,Asking for bribe to pass the driving licence trial test.,Driving Licenses and Tests,"The RTO officials are asking for bribe to make the failed test pass. First a fall,  they will fail you in driving trial test without any valid reason,...","1,000", West Bengal,Maldah,"September 26, 2019"
298,Demanding bribe for Land name ,Contract Work,For converting grandfather's land Talathi officer is demanding for 15000rs. Mother has already paid 5000rs to Rahate madam....,"15,000", Maharashtra,Ratnagiri,"September 26, 2019"
299,Misuse of public funds in Ministry of Agriculture,Others,"Dear sir, This grievance pertains to misuse of public funds by the administration of Directorate of Economics and Statistics, an attached office of th...",1, Delhi,New Delhi,"September 26, 2019"
300,Paid Bribe to Police for verification of my Passport,Verification and Certificates,"I have paid 1200 INR for verification of my passport at Barsathi Police Station, Jaunpur. 
This is the rule to pay 1000 - 1500 INR as bribe in the pol...","1,200", Uttar Pradesh,Jaunpur,"September 25, 2019"
301,Bribe againt receiving my documents,Post and Parcel,"Sir ,
     My name is arun sharma , my mobile number is 9711373757.    My  documents were coming  from Shillong ( meghalaya). There was a little mist...",200, Delhi,New Delhi,"September 25, 2019"
302,Government hospital related..  Balrampur ,Others,Hospital employees asking for bribe for giving me medical certificate..  I have gone through process and done test also..  I asked them if I pay u can...,168, Uttar Pradesh,Lucknow,"September 25, 2019"
303,Cali E-Liquid Nicotine Salt & Pods at Calivapepods.com,Others,"Calivapepods.com has vaped, tasted and tested numerous premium nicotine salt brands and is proud to feature the lines on our website for the best vapi...",200, Uttar Pradesh,Adari,"September 25, 2019"
304,The Kiddos: Pink Seersucker Boat Shoes For Sale,Others,"Now you can get the Tater Tots can rock 'em just like their parents like soft, moldable leather, best in class, insoles, velcro strap for easy tighten...","1,200", Uttar Pradesh,Achhnera,"September 25, 2019"
305,The Kiddos: Pink Seersucker Boat Shoes For Sale,Others,"Now you can get the Tater Tots can rock 'em just like their parents like soft, moldable leather, best in class, insoles, velcro strap for easy tighten...","1,200", Delhi,New Delhi,"September 25, 2019"
306,Information about Touts/middlemen,Aadhaar Card Process,"One middlemen puran singh(D-18/36, 3rd Top floor, gali no 23, old govind pura, krishna nagar, delhi-110051). He is the driver of MCD Licence inspector...","5,00,000", Delhi,New Delhi,"September 24, 2019"
307,Medical officer demanded 500 rs for doing tests in govt. hospital,Hospitals and Medical Care,"Name of officer: 
Date of incident: 21/sep/19
Time of incident: 11:30am
Location and office: Dist govt. hopital Kondapur, rangareddy dist
Designation:...",500, Telangana,Hyderabad,"September 24, 2019"
308,Metre Figure of 8 C7 Mains Cable Lead Plug Sky Hoverboard PS2 PS4,Others,"Now you can buy online best, high quality and cheap 2 Metre Figure of 8 C7 Mains Cable Lead Plug Sky Hoverboard PS2 PS4 with us at Smart Boards UK at ...",455, Delhi,New Delhi,"September 24, 2019"
309,Traxxas 3.3 RC Engine Supercharger For Sale at RBinnovations.com,Others,"Buy online best, high quality and cheap Traxxas Supercharger, traxxas 3.3 engine supercharger and Traxxas Supercharger Sapre Parts in Minoa, NY, USA w...","1,222", Delhi,New Delhi,"September 24, 2019"
310,"AR15 Muzzle Brake, AR & AR15 Bird Cage Muzzle Brake",Others,"Are you looking to buy cheap, best and inexpensive AR15 Muzzle Brake, AR15 Bird Cage Muzzle Brake, AR muzzle brake and all other related ar15 handguar...",200, Telangana,Gadwal,"September 23, 2019"
311,Handcrafted Stemless Wine & Drinking Glasses From OAXACA For Sale,Others,Get online best and beautiful handcrafted stemless wine & drinking glasses from Oaxaca and made from recycled glass while each glass is handcrafted in...,200, Haryana,Kaithal,"September 23, 2019"
312,Complain regarding illegal construction on my plot ,FIR and Complaints,Me and my father went to police station beur patna to lodge a complaint against my neighbour who is building his house beside my plot and intentionall...,"1,000", Bihar,Patna,"September 23, 2019"
313,For Death claim,,"For death claim he ask for 7000  rupees 
Then apply for death claim 

Name of the officer- vinay Gupta
Date of incident- 03/07/2019
Location- dabri Ra...","7,000", Delhi,New Delhi,"September 22, 2019"
314,Government hospital Sanjay Gandhi Hospital ,Hospitals and Medical Care,Nurses of the Sanjay Gandhi hospital ( Department of Gynecologist) those who get their delivery via cesarean operation.My sister have delivered a baby...,300, Karnataka,Bangalore,"September 22, 2019"
315,Passing building drawing,Building and Housing,"For the building drawing passing Nagar parisad Bettiah, JE Sujay suman and Clark sanjeev kumar asled for bribe money 8500 , and if you dealy drawing w...","8,500", Bihar,Bettiah,"September 22, 2019"
316,TT take bribe from passengers,Ticket and Seat Related,"Name:  police constable
Date: 22 sept. 2019
Time 12:15am
Location ambala
TT and railway police ...",600, Haryana,Ambala,"September 22, 2019"
317,Bribe taken in Women Cell Sriniwaspuri by Mrs Deepmala,FIR and Complaints,"Mrs Deepmala working in womens cell in Sriniwaspuri, New Delhi  is involved in lot of bribes. She is buying lots of property with black money. ...","5,00,000", Delhi,New Delhi,"September 21, 2019"
318,Nuisance of Traffic fines,"Traffic Fines, Penalties, Rules",I had to pay bribe of 500 to traffic police for no parking. Official fine is 1650/- it seems. New traffic rules have become a nuisance for common publ...,500, Karnataka,Bangalore,"September 21, 2019"
319,Bengaluru Traffic Police - Thugs of India,"Traffic Fines, Penalties, Rules","20/09/2019, Madiwala Traffic Police Station...",500, Karnataka,Bangalore,"September 21, 2019"
320,Keidney for sell,College Leaving Certificate,My age 25 my no. 9294747475 my...,"10,00,000", Madhya Pradesh,Indore,"September 20, 2019"
321,Bribe Given to Mr. Rahul,Income Tax,"Scrutiny case : M/s Shakti Enterprises
Date : 12.10.2018
Officer : Mr. Rahul
Designation : Corrupted Income Tax Officer.
Location : kashipur , Uttarak...","4,00,000", Uttarakhand,Kashipur,"September 20, 2019"
322,Shakti Enterprises Case,Income Tax,"Scrutiny case : M/s Shakti Enterprises
Date : 12.10.2018
Officer : Mr. Rahul
Designation : Corrupted Income Tax Officer.
Location : kashipur , Uttarak...","4,00,000", Uttarakhand,Kashipur,"September 20, 2019"
323,Hand Stitched & Best Insole Docksides Boat Shoes at Froats.com,Others,FROATS (froats.com) Boat Shoes Store is the full line-up of combining unique & wild patterns with timeless & classic men's casual & soft leather boat ...,12, Uttar Pradesh,Fatehpur,"September 20, 2019"
324,"Wholesale Cali Pods - Sea Pods, Plus Pods, Eon Pods & Eon Smoke Shop",Others,"Now you can wholesale best, cheap and inexpensive cali pods, cali vapor pods, eliquid, eon pods, cali vape pods, eon smoke electronic cigarettes, plus...","1,200", Andhra Pradesh,Adoni,"September 20, 2019"
325,Passport verification,Background Verification,Passport verification officer SI SIBAYAN DEY took bribe...,700, West Bengal,Howrah,"September 20, 2019"
326,"AR15 Buffer Tube, AR & AR15 Pistol Buffer Tube",Others,"We at AR15 Handguard (ar15handguard.com) can provide you the cheap, best and widest collection of inexpensive A1 A2 Buffer Tube, AR Buffer Tube, AR15 ...",22, Punjab,Abohar,"September 19, 2019"
327,Powermatic 2 Plus + Electric Cigarette Rolling Machine For Sale,Others,The Powermatic 2+ (II) Plus Electric Cigarette Rolling Machine is a popular and inexpensive electric cigarette rolling machine for sale online and als...,"1,200", Jharkhand,Adityapur,"September 19, 2019"
328,Buy Best Hoverboards Segway/Swegway UK â Smartboardsuk.com,Others,"Visit our online hoverboard shop to buy best, cheap and inexpensive hoverkart uk, hoverboard uk and segway/swegway UK shopping center or store at Smar...","1,200", Punjab,Abohar,"September 19, 2019"
329,Have to pay 500 for a challan of 100,"Traffic Fines, Penalties, Rules","My brother has a challan for not driving with licence though he has one so as per the rules , he'll have to pay 100 rupees once he comes up with his l...",400, Uttar Pradesh,Agra,"September 18, 2019"
330,Bribe for Practical Exam ,School or College Related,I am a girl student studying in class 12th at NIOS accredited centre in Agra. My practical exam for Home Science was supposed to be conducted between ...,500, Uttar Pradesh,Agra,"September 18, 2019"
331,For Registration in PICME,Government Schemes,I have noticed that the nurses getting bribe of minimum 500rs to all pregnant women who wants to register in PICME. if we didn't give they won't regis...,500, Tamil Nadu,Sirkali,"September 18, 2019"
332,For conduction of practical exams NIOS AI centre ,School or College Related,I am a girl student studying in class XII through NIOS board. My practical exam for home science was scheduled to happen between 16 to 20 September 20...,500, Uttar Pradesh,Agra,"September 18, 2019"
333,Redcat Supercharger & Spare Parts at RBinnovations.com,Others,"Are you looking to buy best, cheap and affordable redcat shockwave supercharger, redcat shockwave upgrades, redcat supercharger, redcat rampage superc...","1,200", Jharkhand,Adityapur,"September 16, 2019"
334,Bribe - A Real Shame ,FIR and Complaints,This is a matter of real shame. The incident took place on 1st and 8th September 2019. The time of the incident was 12 noon. The place of incident was...,800, Tamil Nadu,Nagercoil,"September 15, 2019"
335,Caste verification,Caste Certificate,"I went for caste verification, no employee was available, no incharge was given 

Hence I approached a contract employee he said spend some amount you...","5,000", Telangana,Nagarkurnool,"September 14, 2019"
336,There was no district name on my addressproof(bank passbook) application was rejecting,Number Plates and Vehicle Registration,"I was at RTO OFFICE Telangana Bolaram Rd, Chandragiri Colony, Lal Bahadur Colony, Trimulgherry, Secunderabad, Telangana 500015, India. for an vehicle ...",500, Telangana,Hyderabad,"September 13, 2019"
337,EXCISE INSPECTOR DEMANDS MOTHLY MONEY FOR OPERATING LIQUOR SHOP,Excise,"EXCISE INSPECTOR-KULDEEP KUMAR ,KEEPS ON CALLING TO MY NUMBER,DEMANDING A SUM OF MONEY ,AS IF I AM EARNING ALOT FROM THE SHOP ,HE KEEPS ON THREATING  ...","10,000", Jharkhand,Garhwa,"September 13, 2019"
338,Paid bride to police writer who verifies the documents,Registrations and Licenses,"Hi Sir,
I have lost my license and needed police approval or (FIR) to submit it along with LLD in Department of Motor vehicle for them to issue me a d...",800, Telangana,Nirmal,"September 13, 2019"
339,Buy Juul Compatible Strawberry Mint Cali Pods,Others,Find and wholesale right now the best and latest daily vape deals of strawberry mint cali pods online here at Calivapepods.com. The 1 Pod contains: 1m...,"1,200", Telangana,Adilabad,"September 12, 2019"
340,"BALESAR TEHSIL JODHPUR
IN AUGUST MONTH 2019",Birth Certificate,"BALESAR TEHSIL JODHPUR
IN AUGUST MONTH 2019...",450, Rajasthan,Jodhpur,"September 11, 2019"
341,Inspector taken 900000 lac bribe,Autorickshaws,"Daroga shakti singh
Location ..village .nuaon 
District .kaimoor
.state bihar...","9,00,000", Bihar,Bhabua,"September 11, 2019"
342,Bribe on every talk,Court Related,"I gone on date of district consumer court ghaziabad in month of July, 11am on 9th July. Peshkar Mukesh,location Raj nagar demands and takes  bribe on ...","1,000", Uttar Pradesh,Ghaziabad,"September 11, 2019"
343,Hoverboard Segway Swegway Carry Case UK,Others,"If you have a hoverboard and have used it for a while, then you know that a case to carry it around is very helpful and useful. Buy online Hoverboard ...","1,200", Andhra Pradesh,Adoni,"September 11, 2019"
344,Buy Nitrous Oxide Engine & RC Airfilter Supercharger Innovations at RBinnovations.com,Others,"Are you looking for high, finest, low-cost and cheap RC air filter, supercharger improvements, high nitrous oxide engines and a number of other differ...","1,200", Jharkhand,Adityapur,"September 11, 2019"
345,Had to bribe despite having all the documents,Issue and Renewal of Passport,"The bribe is not take by the officers directly but is managed through the pune, helpers who don't have any official relation with the officer. They sp...","3,000", Andhra Pradesh,Visakhapatnam,"September 11, 2019"
346,CBI junction  ASI took 350rs,"Traffic Fines, Penalties, Rules","No challan was issued 
He took 350rs frm saying pending dues 
when recheck at Traffic Automation center is was NIL .
He stole 350rs ...",350, Karnataka,Bangalore,"September 11, 2019"
347,Bribe taken for issueing PUC certificate for car,,Sir this for your kind information that Pollution check centre in tezpur on main road near mission charali is taking Rs100 by each vehicle owner to is...,100, Assam,Tezpur,"September 11, 2019"
348,BRIBERY AND HARRASMENT AT MOOLEHOLE CHECK POST KERALA KARNATAKA BORDER,Protected Forest and Sanctuaries,We a group of 4 friends were travelling from Mysore to calicut on 09/09/19 in our own vehicle. Our enjoyment ended when we were stopped at moolehole c...,"1,000", Karnataka,Chamarajanagar,"September 10, 2019"
349,Get AR15 Handguard & AR Handguard at AR15handguard.com,Others,"With us at AR15 Handguard (ar15handguard.com) you can buy and wholesale online the widest range of best, cheap and inexpensive AR15 Handguard, AR 15 H...","12,220", Uttar Pradesh,Adari,"September 10, 2019"
350,Automatic Powermatic 3 or Powermatic III Cigarette Machine For Sale ,Others,"Buy best, cheap and inexpensive Automatic Powermatic III or Powermatic 3 Electric Cigarette Rolling Machine as it is a great way to save hundreds of d...","1,200", Delhi,New Delhi,"September 10, 2019"
351,Bribe for getting sanction plan for house,Building and Housing,"Paid bribe for getting sanction plan of house, even though government has made filing online, officers don't approve. So you will have to pay bribe. I...","60,000", Karnataka,Bangalore,"September  9, 2019"
352,Electrical connection bribe,Services,Paid bribe to get elec connection. ...,"1,200", Karnataka,Bangalore,"September  9, 2019"
353,Consumer court ghaziabad,Dates for Hearing,"Peshkar mukesh, district consumer court ghaziabad who takes bribe on a regular basis.takes bribe on telling next dates for court proceedings, bribe on...","1,000", Uttar Pradesh,Ghaziabad,"September  9, 2019"
354,INSTANT LOAN ,Loans,"Citi ClOUD FUNDING
present your excellent business idea and
get a loan up to 50 crores depending on
how good your plan is, and pay it back 
by your bu...","89,000", Maharashtra,Mumbai,"September  9, 2019"
355,Transfer ,Employee Grievances,"At bilaspur district education office chhattisgarh. 

Demanding 30000 for joining at transferred school . Ever the school is having less teachers. 

D...","30,000", Himachal Pradesh,Bilaspur,"September  8, 2019"
356,BUYING BITCOIN IN INDIA,Service Tax,"bitcoin opportunity 
buy & sell bitcoins. Trade invest become a millionaire 
with a blink of an eye, we will assist you all the way 
https://bitcoint...","8,000", Maharashtra,Mumbai,"September  8, 2019"
357,I took a loan of 50 crore,Sales Tax,"Citi ClOUD FUNDING
present your excellent business idea and
get a loan up to 50 crores depending on
how good your plan is, and pay it back 
by your bu...","30,000", Tamil Nadu,Chennai,"September  8, 2019"
358,I TOOK 50 CRORE LOAN,Sales Tax,"Citi ClOUD FUNDING
present your excellent business idea and
get a loan up to 50 crores depending on
how good your plan is, and pay it back 
by your bu...","50,000", Tamil Nadu,Chennai,"September  8, 2019"
359,Lekar chor diya,FIR and Complaints,Galat fir bna kar dara change Kar di is me meri koi mdat ho sakti to ap ki meharbani hoti...,"25,000", Haryana,Gurgaon,"September  8, 2019"
360,No parking fine,"Traffic Fines, Penalties, Rules",Had parked the car in no parking around 8:30 pm at viman nagar Pune . Traffic police had put jammer on the car was asking for RS 2000 fine to be paid ...,500, Maharashtra,Pune,"September  5, 2019"
361,Corruption of Rohilkhand medical college,College Leaving Certificate,Sir neet mbbs 19 cutoff for Rohilkhand medical college is 400+ but they take admission of students whose marks is 142 by taking bribe of approximately...,"2,00,000", Uttar Pradesh,Bareilly,"September  5, 2019"
362,The Star Spangleds Boat Shoes at Froats.com,Others,"Salute your shorts with our patriotic pair, featuring bright white stars against a handsome navy blue backdrop, matte red laces, and a matching red go...","1,200", Jharkhand,Adityapur,"September  5, 2019"
363,Car release,FIR and Complaints,"A car was involved in a collision with another car, fortunately there was no damage to any persons. Both vehicles were taken to the nearest police sta...","7,500", Karnataka,Bangalore,"September  5, 2019"
364,Cali Pods Pink Lemonade at Calivapepods.com,Others,"Get online Cali Pods Pink Lemonade that contains 1ml â 50mg (5%) Nicotine, 1 Pod is equivalent to 1 cigarette pack and each pack comes with 4 pods. ...","1,200", Uttar Pradesh,Achhnera,"September  5, 2019"
365,Best All Terrain Hoverboards UK at Smartboardsuk.com,Others,"Shop and wholesale online best all terrain hoverboards segway/swegway UK, swegway parts, accessories & get best repair services from UKâs No. 1 Hove...","1,200", Telangana,Adilabad,"September  5, 2019"
366,Passport Police verification,Verification and Certificates,"After reviewing my address proof documents, he said, your documents cannot consider for passport verification. You have to do something for this, you ...","1,000", Maharashtra,Pune,"September  5, 2019"
